date,session_key,driver_number,position,meeting_key
2026-09-04T14:04:59.840000+00:00,11355,27,13,1293
2026-09-04T14:04:59.840000+00:00,11355,30,6,1293
2026-09-04T14:04:59.840000+00:00,11355,31,16,1293
2026-09-04T14:04:59.840000+00:00,11355,41,4,1293
2026-09-04T14:04:59.840000+00:00,11355,43,11,1293
2026-09-04T14:04:59.840000+00:00,11355,55,10,1293
2026-09-04T14:04:59.840000+00:00,11355,77,15,1293
2026-09-04T14:04:59.840000+00:00,11355,81,5,1293
2026-09-04T14:04:59.840000+00:00,11355,87,12,1293
2026-09-04T14:05:04.121000+00:00,11355,1,4,1293
2026-09-04T14:05:04.121000+00:00,11355,3,9,1293
2026-09-04T14:05:04.121000+00:00,11355,5,8,1293
2026-09-04T14:05:04.121000+00:00,11355,18,15,1293
2026-09-04T14:05:04.121000+00:00,11355,22,10,1293
2026-09-04T14:05:04.121000+00:00,11355,27,14,1293
2026-09-04T14:05:04.121000+00:00,11355,30,7,1293
2026-09-04T14:05:04.121000+00:00,11355,31,17,1293
2026-09-04T14:05:04.121000+00:00,11355,41,5,1293
2026-09-04T14:05:04.121000+00:00,11355,43,12,1293
2026-09-04T14:05:04.121000+00:00,11355,55,11,1293
2026-09-04T14:05:04.121000+00:00,11355,77,16,1293
2026-09-04T14:05:04.121000+00:00,11355,81,6,1293
2026-09-04T14:05:04.121000+00:00,11355,87,13,1293
2026-09-04T14:05:10.084000+00:00,11355,18,16,1293
2026-09-04T14:05:10.084000+00:00,11355,23,15,1293
2026-09-04T14:05:10.084000+00:00,11355,31,18,1293
2026-09-04T14:05:10.084000+00:00,11355,77,17,1293
2026-09-04T14:05:50.064000+00:00,11355,1,5,1293
2026-09-04T14:05:50.064000+00:00,11355,3,10,1293
2026-09-04T14:05:50.064000+00:00,11355,5,9,1293
2026-09-04T14:05:50.064000+00:00,11355,18,17,1293
2026-09-04T14:05:50.064000+00:00,11355,22,11,1293
2026-09-04T14:05:50.064000+00:00,11355,23,16,1293
