date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-07-05T14:28:42.786000+00:00,11326,14,23,,41.2,41.2,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:31:12.628000+00:00,11326,17,3,,28.7,28.7,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:31:54.573000+00:00,11326,17,27,,28.9,28.9,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:34:11.122000+00:00,11326,18,18,,28.7,28.7,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:34:30.503000+00:00,11326,19,6,,29.9,29.9,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:36:40.733000+00:00,11326,20,55,,28.8,28.8,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:37:30.798000+00:00,11326,20,14,,28.7,28.7,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:38:39.595000+00:00,11326,21,11,,29.3,29.3,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:38:40.451000+00:00,11326,21,31,,43.2,43.2,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:39:57.554000+00:00,11326,22,43,,29.3,29.3,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:40:52.147000+00:00,11326,23,63,,28.6,28.6,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:40:53.747000+00:00,11326,23,44,,34.8,34.8,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:41:36.072000+00:00,11326,23,10,,33.6,33.6,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:43:45.836000+00:00,11326,25,16,,28.4,28.4,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:43:56.211000+00:00,11326,23,23,,39.6,39.6,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:46:11.109000+00:00,11326,26,5,,28.6,28.6,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:47:43.893000+00:00,11326,27,41,,28.9,28.9,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:48:53.303000+00:00,11326,28,1,,28.8,28.8,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:49:15.954000+00:00,11326,28,30,,28.7,28.7,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:51:35.455000+00:00,11326,29,87,,29.9,29.9,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:52:01.983000+00:00,11326,29,77,,31.5,31.5,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:58:20.856000+00:00,11326,34,63,,28.3,28.3,1289,2026-09-06T22:38:13.434275Z
