date,session_key,gap_to_leader,meeting_key,interval,driver_number
2026-09-13T13:05:19.974000+00:00,11369,6.898,1294,0.323,5
2026-09-13T13:05:20.132000+00:00,11369,1.997,1294,0.461,44
2026-09-13T13:05:20.632000+00:00,11369,2.517,1294,0.52,16
2026-09-13T13:05:20.726000+00:00,11369,7.632,1294,0.734,11
2026-09-13T13:05:21.132000+00:00,11369,2.996,1294,0.479,63
2026-09-13T13:05:21.179000+00:00,11369,8.089,1294,0.457,22
2026-09-13T13:05:21.836000+00:00,11369,8.76,1294,0.671,55
2026-09-13T13:05:21.976000+00:00,11369,3.826,1294,0.83,43
2026-09-13T13:05:22.226000+00:00,11369,9.152,1294,0.392,18
2026-09-13T13:05:22.445000+00:00,11369,4.308,1294,0.482,30
2026-09-13T13:05:22.882000+00:00,11369,4.739,1294,0.431,41
2026-09-13T13:05:22.882000+00:00,11369,9.825,1294,0.673,14
2026-09-13T13:05:23.085000+00:00,11369,13.75,1294,3.138,87
2026-09-13T13:05:23.320000+00:00,11369,5.159,1294,0.42,81
2026-09-13T13:05:23.757000+00:00,11369,5.622,1294,0.463,31
2026-09-13T13:05:24.101000+00:00,11369,10.986,1294,1.161,77
2026-09-13T13:05:24.179000+00:00,11369,6.04,1294,0.418,27
2026-09-13T13:05:24.804000+00:00,11369,6.662,1294,0.622,10
2026-09-13T13:05:25.101000+00:00,11369,1.199,1294,1.199,3
2026-09-13T13:05:25.351000+00:00,11369,7.163,1294,0.501,23
2026-09-13T13:05:25.570000+00:00,11369,1.678,1294,0.479,12
2026-09-13T13:05:25.710000+00:00,11369,7.576,1294,0.413,5
2026-09-13T13:05:26.070000+00:00,11369,2.176,1294,0.498,44
2026-09-13T13:05:26.398000+00:00,11369,8.248,1294,0.672,11
2026-09-13T13:05:26.695000+00:00,11369,2.792,1294,0.616,16
2026-09-13T13:05:26.914000+00:00,11369,8.78,1294,0.532,22
2026-09-13T13:05:27.007000+00:00,11369,13.91,1294,2.924,87
2026-09-13T13:05:27.148000+00:00,11369,3.255,1294,0.463,63
2026-09-13T13:05:27.523000+00:00,11369,9.368,1294,0.588,55
2026-09-13T13:05:27.914000+00:00,11369,9.825,1294,0.457,18
2026-09-13T13:05:27.960000+00:00,11369,4.071,1294,0.816,43
2026-09-13T13:05:28.367000+00:00,11369,10.245,1294,0.42,14
2026-09-13T13:05:28.445000+00:00,11369,4.558,1294,0.487,30
2026-09-13T13:05:28.945000+00:00,11369,5.061,1294,0.503,41
2026-09-13T13:05:29.148000+00:00,11369,1.227,1294,1.227,3
2026-09-13T13:05:29.367000+00:00,11369,5.471,1294,0.41,81
2026-09-13T13:05:29.429000+00:00,11369,11.267,1294,1.022,77
2026-09-13T13:05:29.539000+00:00,11369,1.603,1294,0.376,12
2026-09-13T13:05:29.804000+00:00,11369,5.922,1294,0.451,31
2026-09-13T13:05:30.226000+00:00,11369,2.269,1294,0.666,44
2026-09-13T13:05:30.340000+00:00,11369,6.46,1294,0.538,27
2026-09-13T13:05:30.726000+00:00,11369,2.817,1294,0.548,16
2026-09-13T13:05:31.008000+00:00,11369,7.121,1294,0.661,10
2026-09-13T13:05:31.320000+00:00,11369,3.38,1294,0.563,63
2026-09-13T13:05:31.726000+00:00,11369,7.835,1294,0.714,23
2026-09-13T13:05:31.960000+00:00,11369,4.032,1294,0.652,43
2026-09-13T13:05:31.976000+00:00,11369,8.105,1294,0.27,5
2026-09-13T13:05:32.082000+00:00,11369,13.978,1294,2.711,87
2026-09-13T13:05:32.594000+00:00,11369,4.664,1294,0.632,30
2026-09-13T13:05:32.732000+00:00,11369,8.839,1294,0.734,11
2026-09-13T13:05:33.118000+00:00,11369,5.186,1294,0.522,41
2026-09-13T13:05:33.246000+00:00,11369,9.369,1294,0.53,22
